team,rating,matches,last_match_date
Djibouti,1211.665562338802,106,2025-03-24
Guam,1209.9670441106105,128,2024-12-22
Northern Mariana Islands,1207.940862464816,36,2024-12-22
Maldives,1205.3749383071122,231,2025-06-10
Andorra,1200.823351348473,220,2025-06-10
Cambodia,1179.531551102987,238,2025-06-05
Mongolia,1172.233053834898,97,2024-12-11
Anguilla,1169.1494395217535,113,2025-06-07
Somalia,1162.118653969895,138,2025-03-25
US Virgin Islands,1160.7061474862287,76,2024-10-12
Pakistan,1147.5880120589652,274,2025-06-10
Sri Lanka,1146.8489891875604,246,2025-06-10
Seychelles,1143.3605354191825,181,2025-03-25
Liechtenstein,1135.4226068352389,249,2025-06-09
British Virgin Islands,1131.553183332682,133,2025-06-07
Laos,1127.8567236867545,230,2025-06-10
Brunei,1121.4643110715851,147,2025-06-10
East Timor,1101.4674871727404,89,2025-06-10
Macao,1081.6893681847923,163,2025-06-05
Bhutan,1065.1205408508138,108,2025-06-10
San Marino,1051.0560644135605,218,2025-06-10
